"stock","SpeciesCommonName","year","ExpertGroup","ssb_rho","rec_rho","fbar_rho"
"trs.27.22-32","Sea trout",2019,"WGBAST",NA,NA,NA
"tsu.27.nea","Roughsnout grenadier",2018,"WGDEEP",NA,NA,NA
"tsu.27.nea","Roughsnout grenadier",2019,"WGDEEP",NA,NA,NA
"tur.27.22-32","Turbot",2018,"WGBFAS",NA,NA,NA
"tur.27.22-32","Turbot",2019,"WGBFAS",NA,NA,NA
"tur.27.3a","Turbot",2018,"WGNSSK",NA,NA,NA
"tur.27.3a","Turbot",2019,"WGNSSK",NA,NA,NA
"tur.27.4","Turbot",2018,"WGNSSK",NA,NA,NA
"usk.27.1-2","Tusk",2018,"WGDEEP",NA,NA,NA
"usk.27.1-2","Tusk",2019,"WGDEEP",NA,NA,NA
"usk.27.12ac","Tusk",2018,"WGDEEP",NA,NA,NA
"usk.27.12ac","Tusk",2019,"WGDEEP",NA,NA,NA
"usk.27.3a45b6a7-912b","Tusk",2018,"WGDEEP",NA,NA,NA
"usk.27.3a45b6a7-912b","Tusk",2019,"WGDEEP",NA,NA,NA
"usk.27.5a14","Tusk",2018,"WGDEEP",NA,NA,NA
"usk.27.6b","Tusk",2018,"WGDEEP",NA,NA,NA
"usk.27.6b","Tusk",2019,"WGDEEP",NA,NA,NA
"whg.27.3a","Whiting",2018,"WGNSSK",NA,NA,NA
"whg.27.3a","Whiting",2019,"WGNSSK",NA,NA,NA
"whg.27.6a","Whiting",2018,"WGCSE",NA,NA,NA
"whg.27.6a","Whiting",2019,"WGCSE",NA,NA,NA
"whg.27.6b","Whiting",2018,"WGCSE",NA,NA,NA
"whg.27.6b","Whiting",2019,"WGCSE",NA,NA,NA
"whg.27.7a","Whiting",2018,"WGCSE",NA,NA,NA
"whg.27.7b-ce-k","Whiting",2018,"WGCSE",NA,NA,NA
"whg.27.89a","Whiting",2018,"WGBIE",NA,NA,NA
"whg.27.89a","Whiting",2019,"WGBIE",NA,NA,NA
"wit.27.3a47d","Witch",2018,"WGNSSK",NA,NA,NA
