"case","ramplab","change.year","Year","SSB","F","R"
"Cmult","Ramp4",2015,1982,27907.51,0.3260901,6074.648
"Cmult","Ramp4",2015,1983,24770.37,0.3372431,3726.054
"Cmult","Ramp4",2015,1984,22170.13,0.4012364,5457.154
"Cmult","Ramp4",2015,1985,19148.22,0.485763,10508.93
"Cmult","Ramp4",2015,1986,15984.14,0.5323564,5622.946
"Cmult","Ramp4",2015,1987,14332.17,0.6240264,8599.148
"Cmult","Ramp4",2015,1988,13608,0.6342537,8419.273
"Cmult","Ramp4",2015,1989,12777,0.6154727,12348.79
"Cmult","Ramp4",2015,1990,13037.66,0.6478771,12932.59
"Cmult","Ramp4",2015,1991,13215.87,0.580571,8002.223
"Cmult","Ramp4",2015,1992,14056.03,0.8988848,6779.711
"Cmult","Ramp4",2015,1993,11938.6,1.079427,6441.286
"Cmult","Ramp4",2015,1994,9192.705,0.7578507,4352.429
"Cmult","Ramp4",2015,1995,8145.712,0.7232631,2734.838
"Cmult","Ramp4",2015,1996,7951.687,0.5636887,3472.412
"Cmult","Ramp4",2015,1997,7803.762,0.3784966,4474.217
"Cmult","Ramp4",2015,1998,8964.179,0.3691277,4433.252
"Cmult","Ramp4",2015,1999,9100.879,0.5297763,5901.83
"Cmult","Ramp4",2015,2000,8925.986,0.4971884,2511.166
"Cmult","Ramp4",2015,2001,10194.6,0.5102755,2145.177
"Cmult","Ramp4",2015,2002,12119.5,0.3797422,2286.172
"Cmult","Ramp4",2015,2003,12508.02,0.4966617,2218.56
"Cmult","Ramp4",2015,2004,11075.64,0.3931642,2080.163
"Cmult","Ramp4",2015,2005,9436.127,0.3713786,3466.329
"Cmult","Ramp4",2015,2006,9498.668,0.2363877,4340.002
"Cmult","Ramp4",2015,2007,12328.33,0.1520102,3572.014
"Cmult","Ramp4",2015,2008,13547.46,0.1453934,4152.951
"Cmult","Ramp4",2015,2009,13863.9,0.1694336,4246.313
"Cmult","Ramp4",2015,2010,18306.83,0.1307586,3724.16
"Cmult","Ramp4",2015,2011,22341.43,0.2234039,3484.71
"Cmult","Ramp4",2015,2012,22561.72,0.2687281,3347.737
"Cmult","Ramp4",2015,2013,21728.18,0.2655403,3716.556
"Cmult","Ramp4",2015,2014,19191.81,0.3054886,3267.955
"Cmult","Ramp4",2015,2015,16373.73,0.3381146,3524.295
"Cmult","Ramp4",2015,2016,16750.74,0.2615366,2102.811
"Cmult","Ramp4",2015,2017,15827.18,0.4235133,3066.867
"Cmult","Ramp4",2015,2018,11713.03,0.6012265,3668.418
"Cmult","Ramp9",2000,1963,29878.38,0.2423368,5582.255
"Cmult","Ramp9",2000,1964,29708.82,0.1462723,4584.087
"Cmult","Ramp9",2000,1965,31132.99,0.1270897,6423.436
"Cmult","Ramp9",2000,1966,32810.87,0.08568079,7353.781
"Cmult","Ramp9",2000,1967,35581.98,0.06345719,7677.476
"Cmult","Ramp9",2000,1968,39458.61,0.05904012,9027.785
"Cmult","Ramp9",2000,1969,43905.07,0.05155547,7606.774
"Cmult","Ramp9",2000,1970,48807.02,0.06047784,9639.028
"Cmult","Ramp9",2000,1971,53397.26,0.06880135,11632.76
"Cmult","Ramp9",2000,1972,57550.88,0.06643481,7445.57
"Cmult","Ramp9",2000,1973,62834.83,0.06311302,6862.391
"Cmult","Ramp9",2000,1974,67812.4,0.07125194,8226.431
"Cmult","Ramp9",2000,1975,70785.96,0.06584934,6674.025
"Cmult","Ramp9",2000,1976,72760.69,0.07241354,6791.981
"Cmult","Ramp9",2000,1977,72669.49,0.09487146,8869.75
"Cmult","Ramp9",2000,1978,71363.36,0.09483915,8511.683
"Cmult","Ramp9",2000,1979,70282.64,0.08519546,4739.196
"Cmult","Ramp9",2000,1980,68412.47,0.1037795,8756.045
"Cmult","Ramp9",2000,1981,65043.43,0.1436234,7135.362
"Cmult","Ramp9",2000,1982,59778.37,0.1853867,8329.53
"Cmult","Ramp9",2000,1983,53677.3,0.1920344,5132.028
"Cmult","Ramp9",2000,1984,48308.36,0.2366454,7517.47
"Cmult","Ramp9",2000,1985,42230.06,0.2967279,14544.85
"Cmult","Ramp9",2000,1986,35804.53,0.3018454,7810.203
"Cmult","Ramp9",2000,1987,31839.85,0.3547213,11844.88
"Cmult","Ramp9",2000,1988,29652.93,0.3367322,11800.17
"Cmult","Ramp9",2000,1989,29151.38,0.2389935,18389.44
"Cmult","Ramp9",2000,1990,33815.06,0.2214091,21246.23
"Cmult","Ramp9",2000,1991,35373.27,0.2284884,14832.36
"Cmult","Ramp9",2000,1992,39565.93,0.4013105,14151.96
"Cmult","Ramp9",2000,1993,38798.88,0.4959319,15040.61
"Cmult","Ramp9",2000,1994,34426.99,0.3485466,11082.13
"Cmult","Ramp9",2000,1995,31245.26,0.3627363,7424.989
"Cmult","Ramp9",2000,1996,32132.64,0.300636,10008.27
"Cmult","Ramp9",2000,1997,32126.36,0.2281119,13700.11
"Cmult","Ramp9",2000,1998,34881.78,0.2830068,14035.81
"Cmult","Ramp9",2000,1999,34336.12,0.4464584,18799.84
"Cmult","Ramp9",2000,2000,31984.26,0.4844457,7828.069
"Cmult","Ramp9",2000,2001,34502.98,0.5294833,6376.537
"Cmult","Ramp9",2000,2002,39036.08,0.4196981,6445.251
"Cmult","Ramp9",2000,2003,38549.22,0.5686955,5920.856
"Cmult","Ramp9",2000,2004,31949.2,0.4897068,5304.918
"Cmult","Ramp9",2000,2005,24847.3,0.5150379,8486.807
"Cmult","Ramp9",2000,2006,22499.22,0.3723847,10174.42
"Cmult","Ramp9",2000,2007,27118.45,0.2593136,7964.173
"Cmult","Ramp9",2000,2008,28334.95,0.2634664,8719.149
"Cmult","Ramp9",2000,2009,27561.43,0.3238841,8379.891
"Cmult","Ramp9",2000,2010,33760.59,0.2697076,6941.119
"Cmult","Ramp9",2000,2011,38560.8,0.3662834,6226.122
"Cmult","Ramp9",2000,2012,36477.52,0.3753133,5837.484
"Cmult","Ramp9",2000,2013,33884.63,0.3178472,6436.354
"Cmult","Ramp9",2000,2014,29589.85,0.3151338,5712.136
"Cmult","Ramp9",2000,2015,26343.44,0.2875115,6230.004
"Cmult","Ramp9",2000,2016,28639.74,0.2086362,3781.129
"Cmult","Ramp9",2000,2017,28894.15,0.3135616,5600.769
"Cmult","Ramp9",2000,2018,23715.85,0.3912581,6810.254
"Cmult","Ramp9",2005,1963,18998.98,0.3077904,4026.58
"Cmult","Ramp9",2005,1964,18555.94,0.250044,3326.331
"Cmult","Ramp9",2005,1965,18544.02,0.2270766,4657.9
"Cmult","Ramp9",2005,1966,18830.34,0.1577555,5344.84
"Cmult","Ramp9",2005,1967,20186.13,0.1179345,5606.702
"Cmult","Ramp9",2005,1968,22528.89,0.108444,6658.264
"Cmult","Ramp9",2005,1969,25421.24,0.09275657,5686.645
"Cmult","Ramp9",2005,1970,28759.38,0.1072453,7303.898
"Cmult","Ramp9",2005,1971,31809.43,0.1209071,8904.469
"Cmult","Ramp9",2005,1972,34528.42,0.115532,5735.886
"Cmult","Ramp9",2005,1973,38076.33,0.1085653,5328.25
"Cmult","Ramp9",2005,1974,41430.49,0.1213099,6455.039
"Cmult","Ramp9",2005,1975,43262.87,0.1104974,5293.494
"Cmult","Ramp9",2005,1976,44504.44,0.1200116,5454.214
"Cmult","Ramp9",2005,1977,44312.38,0.1568146,7241.219
"Cmult","Ramp9",2005,1978,43041.3,0.1573578,7089.353
"Cmult","Ramp9",2005,1979,42192.06,0.1410953,4005.874
"Cmult","Ramp9",2005,1980,41283.03,0.1677905,7426.919
"Cmult","Ramp9",2005,1981,39163.77,0.2273459,6025.999
"Cmult","Ramp9",2005,1982,35386.34,0.2906243,6989.36
"Cmult","Ramp9",2005,1983,31199.18,0.2986831,4295.022
"Cmult","Ramp9",2005,1984,27733.09,0.3608179,6296.1
"Cmult","Ramp9",2005,1985,23701.72,0.4496754,12030.09
"Cmult","Ramp9",2005,1986,19468.24,0.4905734,6296.933
"Cmult","Ramp9",2005,1987,17057.02,0.5937344,9329.938
"Cmult","Ramp9",2005,1988,15482.66,0.638278,8902.303
"Cmult","Ramp9",2005,1989,13882.87,0.5467304,13029.5
"Cmult","Ramp9",2005,1990,14277.93,0.5732048,13914.82
"Cmult","Ramp9",2005,1991,14507.16,0.4891601,8885.626
"Cmult","Ramp9",2005,1992,15810.5,0.7416686,7923.823
"Cmult","Ramp9",2005,1993,14283.56,0.8275258,8096.041
"Cmult","Ramp9",2005,1994,12208.4,0.5156789,6021.999
"Cmult","Ramp9",2005,1995,12113.55,0.4355356,4155.703
"Cmult","Ramp9",2005,1996,13490.9,0.3434629,5732.314
"Cmult","Ramp9",2005,1997,14509.66,0.2442355,7964.815
"Cmult","Ramp9",2005,1998,17269.91,0.2779836,8327.48
"Cmult","Ramp9",2005,1999,18149.85,0.4215938,11501.03
"Cmult","Ramp9",2005,2000,18280.79,0.4268186,4980.06
"Cmult","Ramp9",2005,2001,21127.72,0.4715315,4196.265
"Cmult","Ramp9",2005,2002,25031.32,0.3840261,4347.845
"Cmult","Ramp9",2005,2003,25419.32,0.5430273,4046.052
"Cmult","Ramp9",2005,2004,21506.38,0.4866888,3649.697
"Cmult","Ramp9",2005,2005,16752.51,0.5463245,5849.171
"Cmult","Ramp9",2005,2006,14978.24,0.400777,7011.271
"Cmult","Ramp9",2005,2007,17996.11,0.2802318,5488.79
"Cmult","Ramp9",2005,2008,18837.29,0.285007,6011.543
"Cmult","Ramp9",2005,2009,18392.76,0.3492083,5781.433
"Cmult","Ramp9",2005,2010,22489.9,0.2907473,4793.947
"Cmult","Ramp9",2005,2011,25652.74,0.3955254,4306.237
"Cmult","Ramp9",2005,2012,24097.05,0.4085843,4045.541
"Cmult","Ramp9",2005,2013,22218.61,0.3487222,4468.319
"Cmult","Ramp9",2005,2014,19183.39,0.3502971,3980.393
"Cmult","Ramp9",2005,2015,16983.4,0.3210801,4362.762
"Cmult","Ramp9",2005,2016,18309.25,0.2341728,2663.19
"Cmult","Ramp9",2005,2017,18366.91,0.3548228,3956.284
"Cmult","Ramp9",2005,2018,15182.95,0.4413624,4816.882
"Cmult","Ramp9",2010,1963,17264.47,0.3063664,3489.983
"Cmult","Ramp9",2010,1964,16734.06,0.2885964,2925.811
"Cmult","Ramp9",2010,1965,16192.73,0.2694329,4102.401
"Cmult","Ramp9",2010,1966,15980.14,0.1924356,4716.285
"Cmult","Ramp9",2010,1967,16820.13,0.1462506,4958.418
"Cmult","Ramp9",2010,1968,18590.51,0.1353681,5916.785
"Cmult","Ramp9",2010,1969,20891.35,0.1162901,5093.41
"Cmult","Ramp9",2010,1970,23628.46,0.1341079,6595.44
"Cmult","Ramp9",2010,1971,26103.82,0.150808,8070.29
"Cmult","Ramp9",2010,1972,28317.53,0.1437639,5194.37
"Cmult","Ramp9",2010,1973,31286.94,0.1346629,4823.558
"Cmult","Ramp9",2010,1974,34106.97,0.1496683,5856.25
"Cmult","Ramp9",2010,1975,35579.6,0.1354208,4816.51
"Cmult","Ramp9",2010,1976,36576.9,0.1452597,4980.315
"Cmult","Ramp9",2010,1977,36359.98,0.1880669,6640.236
"Cmult","Ramp9",2010,1978,35178.62,0.1887267,6536.522
"Cmult","Ramp9",2010,1979,34450.23,0.1693795,3703.352
"Cmult","Ramp9",2010,1980,33823.54,0.198423,6864.694
"Cmult","Ramp9",2010,1981,32171.48,0.2629975,5551.491
"Cmult","Ramp9",2010,1982,29105.28,0.3285397,6414.324
"Cmult","Ramp9",2010,1983,25772.63,0.3378872,3933.205
"Cmult","Ramp9",2010,1984,23048.69,0.4026813,5753.644
"Cmult","Ramp9",2010,1985,19853.88,0.4908561,11020.47
"Cmult","Ramp9",2010,1986,16498.73,0.5375864,5845.219
"Cmult","Ramp9",2010,1987,14733.57,0.6369603,8839.285
"Cmult","Ramp9",2010,1988,13839.54,0.6584192,8572.658
"Cmult","Ramp9",2010,1989,12807.99,0.6154103,12543.62
"Cmult","Ramp9",2010,1990,13059.51,0.6495141,13182.75
"Cmult","Ramp9",2010,1991,13271.38,0.5730333,8189.137
"Cmult","Ramp9",2010,1992,14179.49,0.8866861,6977.118
"Cmult","Ramp9",2010,1993,12105.37,1.05724,6684.321
"Cmult","Ramp9",2010,1994,9407.201,0.73199,4598.11
"Cmult","Ramp9",2010,1995,8485.883,0.6853938,2957.341
"Cmult","Ramp9",2010,1996,8485.995,0.5190446,3865.246
"Cmult","Ramp9",2010,1997,8567.248,0.3381851,5173.995
"Cmult","Ramp9",2010,1998,10123.18,0.3318064,5348.703
"Cmult","Ramp9",2010,1999,10689.52,0.4541847,7431.757
"Cmult","Ramp9",2010,2000,11112.79,0.4014568,3287.114
"Cmult","Ramp9",2010,2001,13450.37,0.4342001,2870.416
"Cmult","Ramp9",2010,2002,16529.64,0.3472023,3093.578
"Cmult","Ramp9",2010,2003,17341.93,0.4861001,2996.167
"Cmult","Ramp9",2010,2004,15388.78,0.4185906,2797.432
"Cmult","Ramp9",2010,2005,12726.82,0.4448576,4612.727
"Cmult","Ramp9",2010,2006,12164.67,0.3250935,5659.377
"Cmult","Ramp9",2010,2007,15088.95,0.2359034,4497.416
"Cmult","Ramp9",2010,2008,15981.07,0.2520693,4970.868
"Cmult","Ramp9",2010,2009,15629.79,0.3288025,4807.377
"Cmult","Ramp9",2010,2010,19125.46,0.2902309,4000.535
"Cmult","Ramp9",2010,2011,21648.34,0.3985426,3599.196
"Cmult","Ramp9",2010,2012,20210.33,0.414415,3385.882
"Cmult","Ramp9",2010,2013,18537.77,0.3557237,3743.448
"Cmult","Ramp9",2010,2014,15931.69,0.3591472,3337.438
"Cmult","Ramp9",2010,2015,14039.45,0.3308973,3663.163
"Cmult","Ramp9",2010,2016,15069.33,0.2421979,2238.861
"Cmult","Ramp9",2010,2017,15064.33,0.3685323,3330.953
"Cmult","Ramp9",2010,2018,12440.02,0.4597411,4065.576
"Cmult","Ramp9",2015,1963,17588.55,0.2853953,3318.036
"Cmult","Ramp9",2015,1964,17016.73,0.2848461,2808.361
"Cmult","Ramp9",2015,1965,16283.99,0.26836,3944.664
"Cmult","Ramp9",2015,1966,15900,0.1939078,4542.534
"Cmult","Ramp9",2015,1967,16567.17,0.148904,4781.345
"Cmult","Ramp9",2015,1968,18146.75,0.1389597,5714.923
"Cmult","Ramp9",2015,1969,20246.83,0.1203118,4934.478
"Cmult","Ramp9",2015,1970,22780.7,0.1390876,6409.598
"Cmult","Ramp9",2015,1971,25071.72,0.1565114,7846.251
"Cmult","Ramp9",2015,1972,27134.48,0.1494589,5038.728
"Cmult","Ramp9",2015,1973,29943.05,0.1401184,4669.745
"Cmult","Ramp9",2015,1974,32615.59,0.1554905,5665.723
"Cmult","Ramp9",2015,1975,33989.3,0.1406751,4658.282
"Cmult","Ramp9",2015,1976,34908.52,0.1503534,4816.594
"Cmult","Ramp9",2015,1977,34669.78,0.1937542,6423.098
"Cmult","Ramp9",2015,1978,33512,0.1945309,6327.559
"Cmult","Ramp9",2015,1979,32796.85,0.174946,3584.638
"Cmult","Ramp9",2015,1980,32193.39,0.2041292,6639.219
"Cmult","Ramp9",2015,1981,30627.91,0.268576,5361.855
"Cmult","Ramp9",2015,1982,27740.84,0.3330534,6187.603
"Cmult","Ramp9",2015,1983,24615.34,0.3431108,3793.742
"Cmult","Ramp9",2015,1984,22050.11,0.4077833,5551.56
"Cmult","Ramp9",2015,1985,19047.08,0.4937552,10668.04
"Cmult","Ramp9",2015,1986,15896.86,0.5406923,5691.601
"Cmult","Ramp9",2015,1987,14273.47,0.6346113,8676.283
"Cmult","Ramp9",2015,1988,13550.09,0.6464658,8471.925
"Cmult","Ramp9",2015,1989,12692.94,0.6218657,12413.1
"Cmult","Ramp9",2015,1990,12950.11,0.6549247,13004.73
"Cmult","Ramp9",2015,1991,13155.81,0.5841907,8046.659
"Cmult","Ramp9",2015,1992,14011.63,0.904438,6816.542
"Cmult","Ramp9",2015,1993,11895.41,1.086229,6474.642
"Cmult","Ramp9",2015,1994,9149.303,0.7627868,4382.257
"Cmult","Ramp9",2015,1995,8117.849,0.7271035,2759.279
"Cmult","Ramp9",2015,1996,7932.467,0.5659351,3511.59
"Cmult","Ramp9",2015,1997,7795.369,0.3790449,4539.059
"Cmult","Ramp9",2015,1998,8978.578,0.3747186,4520.442
"Cmult","Ramp9",2015,1999,9148.389,0.5357321,6064.371
"Cmult","Ramp9",2015,2000,9037.339,0.5002538,2612.208
"Cmult","Ramp9",2015,2001,10429.65,0.5078742,2265.914
"Cmult","Ramp9",2015,2002,12566.53,0.3723621,2460.732
"Cmult","Ramp9",2015,2003,13164.72,0.4764787,2432.467
"Cmult","Ramp9",2015,2004,11934.69,0.3657237,2319.076
"Cmult","Ramp9",2015,2005,10452.09,0.3351646,3906.553
"Cmult","Ramp9",2015,2006,10746.18,0.2398077,4904.014
"Cmult","Ramp9",2015,2007,13863.26,0.1755726,3986.245
"Cmult","Ramp9",2015,2008,14965.82,0.1907156,4519.77
"Cmult","Ramp9",2015,2009,14848.33,0.2542357,4485.107
"Cmult","Ramp9",2015,2010,18680.98,0.2252155,3818.671
"Cmult","Ramp9",2015,2011,21654.05,0.3269411,3489.813
"Cmult","Ramp9",2015,2012,20781.27,0.355112,3306.777
"Cmult","Ramp9",2015,2013,19380.09,0.3215484,3654.768
"Cmult","Ramp9",2015,2014,16774.8,0.3440654,3230.348
"Cmult","Ramp9",2015,2015,14501.09,0.3459789,3510.404
"Cmult","Ramp9",2015,2016,15146.02,0.2611706,2118.267
"Cmult","Ramp9",2015,2017,14676.99,0.4116553,3118.428
"Cmult","Ramp9",2015,2018,11483.19,0.5485214,3763.294
"Mmult All Ages"," Sudden",2000,1963,13808.09,0.3973385,3671.52
"Mmult All Ages"," Sudden",2000,1964,13216.58,0.3614277,2949.193
"Mmult All Ages"," Sudden",2000,1965,12725.28,0.3398454,4061.136
"Mmult All Ages"," Sudden",2000,1966,12526,0.2425474,4636.966
"Mmult All Ages"," Sudden",2000,1967,13336.38,0.182166,4894.307
"Mmult All Ages"," Sudden",2000,1968,15063.67,0.1633304,5850.426
"Mmult All Ages"," Sudden",2000,1969,17354.1,0.1359751,5028.26
"Mmult All Ages"," Sudden",2000,1970,20104.19,0.1547828,6505.633
"Mmult All Ages"," Sudden",2000,1971,22567.64,0.173034,7971.316
"Mmult All Ages"," Sudden",2000,1972,24717.91,0.1631,5168.162
"Mmult All Ages"," Sudden",2000,1973,27564.73,0.151572,4847.39
"Mmult All Ages"," Sudden",2000,1974,30246.85,0.1686488,5941.546
"Mmult All Ages"," Sudden",2000,1975,31604.67,0.1515716,4915.278
"Mmult All Ages"," Sudden",2000,1976,32590.48,0.1622652,5098.852
"Mmult All Ages"," Sudden",2000,1977,32463.49,0.211098,6835.243
"Mmult All Ages"," Sudden",2000,1978,31340.08,0.2116845,6782.269
"Mmult All Ages"," Sudden",2000,1979,30737.41,0.1881497,3865.846
"Mmult All Ages"," Sudden",2000,1980,30418.35,0.2176028,7207.948
"Mmult All Ages"," Sudden",2000,1981,29054.53,0.2892828,5877.648
"Mmult All Ages"," Sudden",2000,1982,26192.32,0.3638558,6840.627
"Mmult All Ages"," Sudden",2000,1983,23143.76,0.3640132,4204.276
"Mmult All Ages"," Sudden",2000,1984,20825.58,0.4286646,6161.844
"Mmult All Ages"," Sudden",2000,1985,18008.87,0.5172633,11700.55
"Mmult All Ages"," Sudden",2000,1986,15074.59,0.5599377,6129.536
"Mmult All Ages"," Sudden",2000,1987,13754.24,0.6536088,9177.951
"Mmult All Ages"," Sudden",2000,1988,13128.54,0.6560394,8837.013
"Mmult All Ages"," Sudden",2000,1989,12222.8,0.6100925,12910.28
"Mmult All Ages"," Sudden",2000,1990,12528.91,0.6437747,13598.81
"Mmult All Ages"," Sudden",2000,1991,12920.9,0.5540656,8446.089
"Mmult All Ages"," Sudden",2000,1992,13937.13,0.8535272,7177.231
"Mmult All Ages"," Sudden",2000,1993,11933.48,1.009517,6876.343
"Mmult All Ages"," Sudden",2000,1994,9270.944,0.702196,4771.305
"Mmult All Ages"," Sudden",2000,1995,8432.279,0.6497624,3135.077
"Mmult All Ages"," Sudden",2000,1996,8518.295,0.4889587,4254.852
"Mmult All Ages"," Sudden",2000,1997,8696.236,0.3163851,5998.849
"Mmult All Ages"," Sudden",2000,1998,10448.03,0.3363607,6606.431
"Mmult All Ages"," Sudden",2000,1999,11403.61,0.4466653,9946.393
"Mmult All Ages"," Sudden",2000,2000,12108.92,0.4019459,4834.372
"Mmult All Ages"," Sudden",2000,2001,13644.46,0.4177665,4072.145
"Mmult All Ages"," Sudden",2000,2002,15896.34,0.3182058,4278.517
"Mmult All Ages"," Sudden",2000,2003,15587.45,0.4226834,4053.319
"Mmult All Ages"," Sudden",2000,2004,13207.61,0.3464881,3732.172
"Mmult All Ages"," Sudden",2000,2005,10727.61,0.3490592,6056.677
"Mmult All Ages"," Sudden",2000,2006,10127.25,0.2425602,7330.449
"Mmult All Ages"," Sudden",2000,2007,12476.9,0.1681614,5749.218
"Mmult All Ages"," Sudden",2000,2008,12948.52,0.1734056,6292.373
"Mmult All Ages"," Sudden",2000,2009,12610.48,0.2127006,6074.427
"Mmult All Ages"," Sudden",2000,2010,15462.53,0.176892,5101.856
"Mmult All Ages"," Sudden",2000,2011,17580.93,0.2387146,4626.238
"Mmult All Ages"," Sudden",2000,2012,16820.62,0.2379839,4387.109
"Mmult All Ages"," Sudden",2000,2013,15920.62,0.1980923,4876.045
"Mmult All Ages"," Sudden",2000,2014,13872.98,0.1962834,4354.203
"Mmult All Ages"," Sudden",2000,2015,12426.11,0.178186,4771.432
"Mmult All Ages"," Sudden",2000,2016,13265.43,0.1320291,2884.555
"Mmult All Ages"," Sudden",2000,2017,13043.43,0.2025029,4151.891
"Mmult All Ages"," Sudden",2000,2018,11076.98,0.2433674,4873.411
"Mmult All Ages"," Sudden",2005,1963,15603.49,0.3329238,3445.929
"Mmult All Ages"," Sudden",2005,1964,15011.51,0.3189931,2844.246
"Mmult All Ages"," Sudden",2005,1965,14376.65,0.3005031,3953.641
"Mmult All Ages"," Sudden",2005,1966,14067.16,0.2163931,4536.455
"Mmult All Ages"," Sudden",2005,1967,14781.41,0.1647608,4787.808
"Mmult All Ages"," Sudden",2005,1968,16399.22,0.150968,5726.983
"Mmult All Ages"," Sudden",2005,1969,18552.4,0.1283895,4937.698
"Mmult All Ages"," Sudden",2005,1970,21150.72,0.1472436,6407.146
"Mmult All Ages"," Sudden",2005,1971,23491.56,0.164978,7841.733
"Mmult All Ages"," Sudden",2005,1972,25570.3,0.1565454,5052.105
"Mmult All Ages"," Sudden",2005,1973,28363.35,0.1461956,4706.285
"Mmult All Ages"," Sudden",2005,1974,31005.55,0.1622434,5738.426
"Mmult All Ages"," Sudden",2005,1975,32349.25,0.146378,4730.414
"Mmult All Ages"," Sudden",2005,1976,33281.62,0.1565271,4896.987
"Mmult All Ages"," Sudden",2005,1977,33096.09,0.2022077,6546.868
"Mmult All Ages"," Sudden",2005,1978,31970.12,0.2029113,6473.244
"Mmult All Ages"," Sudden",2005,1979,31313.74,0.1816802,3675.649
"Mmult All Ages"," Sudden",2005,1980,30847.11,0.2107296,6827.555
"Mmult All Ages"," Sudden",2005,1981,29399.63,0.2779553,5543.853
"Mmult All Ages"," Sudden",2005,1982,26577.09,0.3464565,6429.867
"Mmult All Ages"," Sudden",2005,1983,23545.96,0.3522285,3949.851
"Mmult All Ages"," Sudden",2005,1984,21138.88,0.4162458,5791.633
"Mmult All Ages"," Sudden",2005,1985,18278.7,0.5020472,11073.74
"Mmult All Ages"," Sudden",2005,1986,15297.33,0.5462841,5863.629
"Mmult All Ages"," Sudden",2005,1987,13868.24,0.6367363,8879.949
"Mmult All Ages"," Sudden",2005,1988,13249.23,0.6379934,8625.202
"Mmult All Ages"," Sudden",2005,1989,12431.45,0.6098067,12620.35
"Mmult All Ages"," Sudden",2005,1990,12718.44,0.6430654,13244.89
"Mmult All Ages"," Sudden",2005,1991,13004.95,0.5648679,8194.28
"Mmult All Ages"," Sudden",2005,1992,13911.8,0.8737841,6921.866
"Mmult All Ages"," Sudden",2005,1993,11814.5,1.045933,6552.717
"Mmult All Ages"," Sudden",2005,1994,9057.196,0.7392453,4424.359
"Mmult All Ages"," Sudden",2005,1995,8037.268,0.7035573,2790.272
"Mmult All Ages"," Sudden",2005,1996,7849.071,0.5499257,3574.83
"Mmult All Ages"," Sudden",2005,1997,7694.695,0.3705614,4658.242
"Mmult All Ages"," Sudden",2005,1998,8851.28,0.384641,4681.79
"Mmult All Ages"," Sudden",2005,1999,9054.633,0.5502135,6374.442
"Mmult All Ages"," Sudden",2005,2000,9061.934,0.5068605,2815.546
"Mmult All Ages"," Sudden",2005,2001,10691.31,0.5029062,2518.051
"Mmult All Ages"," Sudden",2005,2002,13270.49,0.3562682,2849.421
"Mmult All Ages"," Sudden",2005,2003,14292.72,0.436968,2960.775
"Mmult All Ages"," Sudden",2005,2004,13487.7,0.3216178,3013.538
"Mmult All Ages"," Sudden",2005,2005,12002.8,0.2980945,5473.832
"Mmult All Ages"," Sudden",2005,2006,11421.59,0.2027891,6607.893
"Mmult All Ages"," Sudden",2005,2007,13754.64,0.1427625,5184.582
"Mmult All Ages"," Sudden",2005,2008,13922.71,0.1495947,5682.891
"Mmult All Ages"," Sudden",2005,2009,13176.4,0.1894759,5494.781
"Mmult All Ages"," Sudden",2005,2010,16019.63,0.159791,4617.554
"Mmult All Ages"," Sudden",2005,2011,18086.82,0.2183833,4188.329
"Mmult All Ages"," Sudden",2005,2012,17317.93,0.2184328,3963.594
"Mmult All Ages"," Sudden",2005,2013,16401.66,0.1817797,4391.539
"Mmult All Ages"," Sudden",2005,2014,14424.98,0.1786946,3899.057
"Mmult All Ages"," Sudden",2005,2015,12900.97,0.1629635,4255.963
"Mmult All Ages"," Sudden",2005,2016,13857.34,0.1206146,2564.414
"Mmult All Ages"," Sudden",2005,2017,13684.63,0.1839536,3683.906
"Mmult All Ages"," Sudden",2005,2018,11419.63,0.223693,4318.554
"Mmult All Ages"," Sudden",2010,1963,17151.36,0.2944507,3361.958
"Mmult All Ages"," Sudden",2010,1964,16541.92,0.2889745,2810.143
"Mmult All Ages"," Sudden",2010,1965,15825.32,0.2721975,3925.736
"Mmult All Ages"," Sudden",2010,1966,15451.07,0.1966667,4518.052
"Mmult All Ages"," Sudden",2010,1967,16111.13,0.1509482,4769.278
"Mmult All Ages"," Sudden",2010,1968,17669.92,0.1402801,5705.789
"Mmult All Ages"," Sudden",2010,1969,19750.11,0.1209428,4925.953
"Mmult All Ages"," Sudden",2010,1970,22271.76,0.1396206,6399.466
"Mmult All Ages"," Sudden",2010,1971,24553.72,0.1569446,7825.909
"Mmult All Ages"," Sudden",2010,1972,26600.86,0.1496599,5024.364
"Mmult All Ages"," Sudden",2010,1973,29384.06,0.1402946,4662.784
"Mmult All Ages"," Sudden",2010,1974,32025.51,0.1556588,5667.556
"Mmult All Ages"," Sudden",2010,1975,33372.35,0.1408575,4660.802
"Mmult All Ages"," Sudden",2010,1976,34281.18,0.1507223,4817.075
"Mmult All Ages"," Sudden",2010,1977,34054.43,0.1941502,6426.857
"Mmult All Ages"," Sudden",2010,1978,32909.23,0.1949288,6338.185
"Mmult All Ages"," Sudden",2010,1979,32204.11,0.1752468,3589.408
"Mmult All Ages"," Sudden",2010,1980,31625.92,0.2038662,6652.659
"Mmult All Ages"," Sudden",2010,1981,30088.46,0.2682562,5390.444
"Mmult All Ages"," Sudden",2010,1982,27226.09,0.3334016,6242.138
"Mmult All Ages"," Sudden",2010,1983,24136.74,0.3419104,3834.504
"Mmult All Ages"," Sudden",2010,1984,21627.55,0.4052891,5624.682
"Mmult All Ages"," Sudden",2010,1985,18686.37,0.4896014,10793.33
